Time,ForceReading
0.0,10.0
0.001,21.0
0.002,31.0
0.003,37.0
0.004,39.0
0.005,44.0
0.006,44.0
0.007,56.0
0.008,62.0
0.009,65.0
0.01,65.0
0.011,66.0
0.012,67.0
0.013,69.0
0.014,67.0
0.015,69.0
0.016,72.0
0.017,79.0
0.018,79.0
0.019,84.0
0.02,86.0
0.021,86.0
0.022,91.0
0.023,92.0
0.024,102.0
0.025,104.0
0.026,107.0
0.027,110.0
0.028,112.0
0.029,113.0
0.03,118.0
0.031,120.0
0.032,121.0
0.033,127.0
0.034,132.0
0.035,135.0
0.036,140.0
0.037,143.0
0.038,147.0
0.039,151.0
0.04,153.0
0.041,157.0
0.042,159.0
0.043,164.0
0.044,167.0
0.045,170.0
0.046,172.0
0.047,173.0
0.048,173.0
0.049,169.0
0.05,166.0
0.051,164.0
0.052,163.0
0.053,164.0
0.054,164.0
0.055,165.0
0.056,166.0
0.057,168.0
0.058,169.0
0.059,170.0
0.06,174.0
0.061,176.0
0.062,175.0
0.063,176.0
0.064,177.0
0.065,178.0
0.066,177.0
0.067,177.0
0.068,176.0
0.069,178.0
0.07,177.0
0.071,176.0
0.072,176.0
0.073,176.0
0.074,177.0
0.075,177.0
0.076,177.0
0.077,177.0
0.078,178.0
0.079,178.0
0.08,178.0
0.081,180.0
0.082,179.0
0.083,180.0
0.084,179.0
0.085,180.0
0.086,180.0
0.087,181.0
0.088,179.0
0.089,180.0
0.09,178.0
0.091,181.0
0.092,179.0
0.093,180.0
0.094,180.0
0.095,180.0
0.096,182.0
0.097,181.0
0.098,184.0
0.099,181.0
0.1,182.0
0.101,182.0
0.102,183.0
0.103,183.0
0.104,181.0
0.105,182.0
0.106,182.0
0.107,183.0
0.108,182.0
0.109,182.0
0.11,182.0
0.111,183.0
0.112,182.0
0.113,183.0
0.114,183.0
0.115,184.0
0.116,185.0
0.117,187.0
0.118,186.0
0.119,190.0
0.12,190.0
0.121,190.0
0.122,192.0
0.123,192.0
0.124,193.0
0.125,194.0
0.126,194.0
0.127,195.0
0.128,196.0
0.129,195.0
0.13,197.0
0.131,199.0
0.132,200.0
0.133,200.0
0.134,202.0
0.135,202.0
0.136,205.0
0.137,207.0
0.138,210.0
0.139,212.0
0.14,215.0
0.141,218.0
0.142,222.0
0.143,224.0
0.144,227.0
0.145,230.0
0.146,236.0
0.147,238.0
0.148,243.0
0.149,248.0
0.15,257.0
0.151,275.0
0.152,282.0
0.153,292.0
0.154,299.0
0.155,311.0
0.156,320.0
0.157,327.0
0.158,333.0
0.159,339.0
0.16,343.0
0.161,351.0
0.162,354.0
0.163,358.0
0.164,361.0
0.165,364.0
0.166,368.0
0.167,369.0
0.168,371.0
0.169,376.0
0.17,379.0
0.171,383.0
0.172,386.0
0.173,391.0
0.174,392.0
0.175,395.0
0.176,397.0
0.177,399.0
0.178,402.0
0.179,403.0
0.18,407.0
0.181,411.0
0.182,412.0
0.183,414.0
0.184,418.0
0.185,421.0
0.186,423.0
0.187,427.0
0.188,428.0
0.189,432.0
0.19,434.0
0.191,437.0
0.192,442.0
0.193,445.0
0.194,449.0
0.195,453.0
0.196,457.0
0.197,460.0
0.198,464.0
0.199,468.0
0.2,470.0
0.201,474.0
0.202,477.0
0.203,482.0
0.204,483.0
0.205,485.0
0.206,489.0
0.207,492.0
0.208,495.0
0.209,499.0
0.21,502.0
0.211,505.0
0.212,508.0
0.213,510.0
0.214,513.0
0.215,515.0
0.216,519.0
0.217,522.0
0.218,525.0
0.219,526.0
0.22,530.0
0.221,533.0
0.222,535.0
0.223,538.0
0.224,539.0
0.225,543.0
0.226,545.0
0.227,546.0
0.228,550.0
0.229,551.0
0.23,554.0
0.231,557.0
0.232,558.0
0.233,561.0
0.234,564.0
0.235,567.0
0.236,570.0
0.237,573.0
0.238,576.0
0.239,578.0
0.24,582.0
0.241,584.0
0.242,587.0
0.243,588.0
0.244,590.0
0.245,593.0
0.246,595.0
0.247,596.0
0.248,599.0
0.249,601.0
0.25,602.0
0.251,605.0
0.252,604.0
0.253,606.0
0.254,608.0
0.255,611.0
0.256,611.0
0.257,613.0
0.258,615.0
0.259,616.0
0.26,619.0
0.261,622.0
0.262,624.0
0.263,627.0
0.264,628.0
0.265,629.0
0.266,629.0
0.267,632.0
0.268,632.0
0.269,635.0
0.27,637.0
0.271,639.0
0.272,640.0
0.273,641.0
0.274,643.0
0.275,645.0
0.276,648.0
0.277,649.0
0.278,650.0
0.279,652.0
0.28,653.0
0.281,655.0
0.282,658.0
0.283,659.0
0.284,663.0
0.285,663.0
0.286,664.0
0.287,665.0
0.288,666.0
0.289,668.0
0.29,670.0
0.291,671.0
0.292,672.0
0.293,675.0
0.294,674.0
0.295,675.0
0.296,677.0
0.297,679.0
0.298,679.0
0.299,682.0
0.3,682.0
0.301,683.0
0.302,686.0
0.303,687.0
0.304,688.0
0.305,690.0
0.306,690.0
0.307,691.0
0.308,693.0
0.309,694.0
0.31,695.0
0.311,695.0
0.312,696.0
0.313,698.0
0.314,698.0
0.315,699.0
0.316,701.0
0.317,702.0
0.318,703.0
0.319,703.0
0.32,705.0
0.321,706.0
0.322,706.0
0.323,706.0
0.324,708.0
0.325,708.0
0.326,709.0
0.327,710.0
0.328,711.0
0.329,712.0
0.33,713.0
0.331,714.0
0.332,717.0
0.333,719.0
0.334,718.0
0.335,720.0
0.336,722.0
0.337,723.0
0.338,724.0
0.339,726.0
0.34,726.0
0.341,727.0
0.342,727.0
0.343,728.0
0.344,729.0
0.345,731.0
0.346,731.0
0.347,732.0
0.348,732.0
0.349,733.0
0.35,734.0
0.351,735.0
