Time,ForceReading
0.0,10.0
0.001,15.0
0.002,20.0
0.003,22.0
0.004,27.0
0.005,25.0
0.006,24.0
0.007,25.0
0.008,26.0
0.009,26.0
0.01,25.0
0.011,30.0
0.012,44.0
0.013,52.0
0.014,58.0
0.015,61.0
0.016,67.0
0.017,69.0
0.018,72.0
0.019,76.0
0.02,79.0
0.021,87.0
0.022,92.0
0.023,94.0
0.024,96.0
0.025,99.0
0.026,97.0
0.027,99.0
0.028,99.0
0.029,98.0
0.03,96.0
0.031,93.0
0.032,93.0
0.033,93.0
0.034,94.0
0.035,93.0
0.036,93.0
0.037,96.0
0.038,96.0
0.039,96.0
0.04,97.0
0.041,98.0
0.042,98.0
0.043,99.0
0.044,97.0
0.045,98.0
0.046,98.0
0.047,100.0
0.048,99.0
0.049,97.0
0.05,98.0
0.051,99.0
0.052,99.0
0.053,100.0
0.054,100.0
0.055,100.0
0.056,98.0
0.057,100.0
0.058,101.0
0.059,99.0
0.06,100.0
0.061,100.0
0.062,100.0
0.063,100.0
0.064,101.0
0.065,101.0
0.066,102.0
0.067,100.0
0.068,102.0
0.069,102.0
0.07,102.0
0.071,101.0
0.072,101.0
0.073,102.0
0.074,104.0
0.075,102.0
0.076,102.0
0.077,102.0
0.078,102.0
0.079,101.0
0.08,102.0
0.081,101.0
0.082,102.0
0.083,102.0
0.084,102.0
0.085,102.0
0.086,104.0
0.087,103.0
0.088,103.0
0.089,104.0
0.09,104.0
0.091,105.0
0.092,105.0
0.093,106.0
0.094,105.0
0.095,110.0
0.096,114.0
0.097,114.0
0.098,117.0
0.099,115.0
0.1,118.0
0.101,121.0
0.102,124.0
0.103,128.0
0.104,129.0
0.105,130.0
0.106,132.0
0.107,132.0
0.108,135.0
0.109,137.0
0.11,137.0
0.111,138.0
0.112,142.0
0.113,142.0
0.114,144.0
0.115,147.0
0.116,151.0
0.117,154.0
0.118,161.0
0.119,166.0
0.12,174.0
0.121,177.0
0.122,183.0
0.123,190.0
0.124,195.0
0.125,200.0
0.126,204.0
0.127,206.0
0.128,209.0
0.129,213.0
0.13,213.0
0.131,214.0
0.132,215.0
0.133,218.0
0.134,220.0
0.135,225.0
0.136,227.0
0.137,229.0
0.138,232.0
0.139,234.0
0.14,235.0
0.141,238.0
0.142,243.0
0.143,243.0
0.144,246.0
0.145,250.0
0.146,254.0
0.147,258.0
0.148,260.0
0.149,265.0
0.15,268.0
0.151,275.0
0.152,278.0
0.153,284.0
0.154,286.0
0.155,289.0
0.156,290.0
0.157,289.0
0.158,292.0
0.159,294.0
0.16,292.0
0.161,295.0
0.162,294.0
0.163,295.0
0.164,296.0
0.165,296.0
0.166,298.0
0.167,300.0
0.168,305.0
0.169,308.0
0.17,307.0
0.171,310.0
0.172,311.0
0.173,311.0
0.174,314.0
0.175,317.0
0.176,321.0
0.177,325.0
0.178,331.0
0.179,330.0
0.18,332.0
0.181,335.0
0.182,338.0
0.183,338.0
0.184,340.0
0.185,340.0
0.186,343.0
0.187,342.0
0.188,343.0
0.189,344.0
0.19,342.0
0.191,342.0
0.192,342.0
0.193,343.0
0.194,340.0
0.195,338.0
0.196,338.0
0.197,334.0
0.198,336.0
0.199,332.0
0.2,329.0
0.201,328.0
0.202,324.0
0.203,323.0
0.204,323.0
0.205,323.0
0.206,324.0
0.207,321.0
0.208,323.0
0.209,323.0
0.21,320.0
0.211,321.0
0.212,320.0
0.213,320.0
0.214,317.0
0.215,314.0
0.216,315.0
0.217,315.0
0.218,310.0
0.219,308.0
0.22,307.0
0.221,311.0
0.222,320.0
0.223,328.0
0.224,329.0
0.225,324.0
0.226,324.0
0.227,321.0
0.228,322.0
0.229,317.0
0.23,310.0
0.231,306.0
0.232,304.0
0.233,303.0
0.234,301.0
0.235,296.0
0.236,290.0
0.237,288.0
0.238,281.0
0.239,279.0
0.24,270.0
0.241,266.0
0.242,259.0
0.243,252.0
0.244,248.0
0.245,249.0
0.246,244.0
0.247,241.0
0.248,239.0
0.249,237.0
0.25,226.0
0.251,219.0
0.252,216.0
0.253,214.0
0.254,214.0
0.255,210.0
0.256,207.0
0.257,200.0
0.258,192.0
0.259,184.0
0.26,181.0
0.261,178.0
0.262,176.0
0.263,171.0
0.264,168.0
0.265,167.0
0.266,159.0
0.267,151.0
0.268,145.0
0.269,137.0
0.27,126.0
0.271,124.0
0.272,117.0
0.273,117.0
0.274,115.0
0.275,112.0
0.276,113.0
0.277,113.0
0.278,110.0
0.279,105.0
0.28,103.0
0.281,102.0
0.282,103.0
0.283,107.0
0.284,106.0
0.285,103.0
0.286,98.0
0.287,94.0
0.288,91.0
0.289,88.0
0.29,85.0
0.291,83.0
0.292,81.0
0.293,79.0
0.294,77.0
0.295,74.0
0.296,74.0
0.297,69.0
0.298,63.0
0.299,64.0
0.3,61.0
0.301,60.0
0.302,58.0
0.303,56.0
0.304,56.0
0.305,55.0
0.306,53.0
0.307,53.0
0.308,50.0
0.309,49.0
0.31,49.0
0.311,47.0
0.312,47.0
0.313,42.0
0.314,32.0
0.315,28.0
0.316,23.0
0.317,21.0
0.318,20.0
0.319,18.0
0.32,19.0
0.321,20.0
0.322,18.0
0.323,17.0
0.324,16.0
0.325,16.0
0.326,15.0
0.327,15.0
0.328,15.0
0.329,15.0
0.33,15.0
0.331,15.0
0.332,13.0
0.333,11.0
0.334,13.0
0.335,11.0
0.336,11.0
0.337,5.0
0.338,2.0
0.339,0.0
0.34,0.0
0.341,0.0
0.342,0.0
0.343,0.0
0.344,0.0
0.345,0.0
0.346,0.0
0.347,0.0
0.348,0.0
0.349,0.0
0.35,0.0
0.351,0.0
0.352,0.0
0.353,0.0
0.354,0.0
0.355,0.0
0.356,0.0
0.357,0.0
0.358,0.0
0.359,0.0
0.36,0.0
0.361,0.0
0.362,0.0
0.363,0.0
0.364,0.0
0.365,0.0
0.366,0.0
0.367,0.0
0.368,0.0
0.369,0.0
0.37,0.0
0.371,0.0
0.372,0.0
0.373,0.0
0.374,0.0
0.375,0.0
0.376,0.0
0.377,0.0
0.378,0.0
0.379,0.0
0.38,0.0
0.381,0.0
0.382,0.0
0.383,0.0
0.384,0.0
0.385,0.0
0.386,0.0
0.387,0.0
0.388,0.0
0.389,0.0
0.39,0.0
0.391,0.0
0.392,0.0
0.393,0.0
0.394,0.0
0.395,0.0
0.396,0.0
0.397,0.0
0.398,0.0
0.399,0.0
0.4,0.0
0.401,0.0
0.402,0.0
0.403,0.0
0.404,0.0
0.405,0.0
0.406,0.0
0.407,0.0
0.408,0.0
0.409,0.0
0.41,0.0
0.411,1.0
0.412,0.0
0.413,2.0
0.414,3.0
0.415,0.0
0.416,9.0
0.417,8.0
0.418,10.0
0.419,10.0
0.42,11.0
0.421,10.0
0.422,11.0
0.423,11.0
0.424,11.0
0.425,11.0
0.426,12.0
0.427,12.0
0.428,13.0
0.429,11.0
0.43,12.0
0.431,9.0
0.432,9.0
0.433,7.0
0.434,7.0
0.435,2.0
0.436,2.0
0.437,0.0
0.438,0.0
0.439,0.0
0.44,0.0
0.441,0.0
0.442,0.0
0.443,0.0
0.444,0.0
0.445,0.0
0.446,0.0
0.447,0.0
0.448,0.0
0.449,0.0
0.45,0.0
0.451,0.0
0.452,0.0
0.453,0.0
0.454,0.0
0.455,0.0
0.456,0.0
0.457,0.0
0.458,0.0
0.459,0.0
0.46,0.0
0.461,0.0
0.462,0.0
0.463,0.0
0.464,0.0
0.465,0.0
0.466,0.0
0.467,0.0
0.468,0.0
0.469,0.0
0.47,0.0
0.471,0.0
0.472,0.0
0.473,0.0
0.474,0.0
0.475,0.0
0.476,0.0
0.477,0.0
0.478,0.0
0.479,0.0
0.48,0.0
0.481,0.0
0.482,0.0
0.483,0.0
0.484,0.0
0.485,0.0
0.486,0.0
0.487,0.0
0.488,0.0
0.489,0.0
0.49,0.0
0.491,0.0
0.492,0.0
0.493,0.0
0.494,0.0
0.495,0.0
0.496,0.0
0.497,0.0
0.498,0.0
0.499,0.0
0.5,0.0
0.501,0.0
0.502,0.0
0.503,0.0
0.504,0.0
0.505,0.0
0.506,0.0
0.507,0.0
0.508,0.0
0.509,0.0
0.51,0.0
0.511,0.0
0.512,0.0
0.513,0.0
0.514,0.0
0.515,0.0
0.516,0.0
0.517,0.0
0.518,0.0
0.519,0.0
0.52,0.0
0.521,0.0
0.522,0.0
0.523,0.0
0.524,0.0
0.525,0.0
0.526,0.0
0.527,0.0
0.528,0.0
0.529,0.0
0.53,0.0
0.531,0.0
0.532,0.0
0.533,0.0
0.534,0.0
0.535,0.0
0.536,0.0
0.537,0.0
0.538,0.0
0.539,0.0
0.54,0.0
0.541,0.0
0.542,0.0
0.543,0.0
0.544,0.0
0.545,0.0
0.546,0.0
0.547,0.0
0.548,0.0
0.549,0.0
0.55,0.0
0.551,0.0
0.552,0.0
0.553,0.0
0.554,0.0
0.555,0.0
0.556,0.0
0.557,1.0
0.558,2.0
0.559,0.0
0.56,4.0
0.561,3.0
0.562,3.0
0.563,5.0
0.564,4.0
0.565,1.0
0.566,7.0
0.567,8.0
0.568,11.0
0.569,10.0
0.57,9.0
0.571,11.0
0.572,10.0
0.573,11.0
0.574,12.0
0.575,10.0
0.576,12.0
0.577,10.0
0.578,12.0
0.579,12.0
0.58,12.0
0.581,14.0
0.582,13.0
0.583,15.0
0.584,15.0
0.585,15.0
0.586,18.0
0.587,18.0
0.588,19.0
0.589,19.0
0.59,17.0
0.591,20.0
0.592,20.0
0.593,21.0
0.594,19.0
0.595,20.0
0.596,20.0
0.597,20.0
0.598,20.0
0.599,19.0
0.6,19.0
0.601,21.0
0.602,21.0
0.603,21.0
0.604,22.0
0.605,26.0
0.606,25.0
0.607,26.0
0.608,26.0
0.609,27.0
0.61,27.0
0.611,29.0
0.612,30.0
0.613,30.0
0.614,29.0
0.615,28.0
0.616,30.0
0.617,29.0
0.618,29.0
0.619,31.0
0.62,30.0
0.621,32.0
0.622,31.0
0.623,32.0
0.624,33.0
0.625,32.0
0.626,31.0
0.627,34.0
0.628,35.0
0.629,36.0
0.63,37.0
0.631,36.0
0.632,36.0
0.633,37.0
0.634,36.0
0.635,35.0
0.636,38.0
0.637,37.0
0.638,38.0
0.639,39.0
0.64,38.0
0.641,40.0
0.642,40.0
0.643,39.0
0.644,40.0
0.645,41.0
0.646,41.0
0.647,40.0
0.648,41.0
0.649,42.0
0.65,41.0
0.651,41.0
0.652,42.0
0.653,42.0
0.654,41.0
0.655,42.0
0.656,41.0
0.657,43.0
0.658,41.0
0.659,42.0
0.66,42.0
0.661,42.0
0.662,43.0
0.663,43.0
0.664,44.0
0.665,42.0
0.666,43.0
0.667,44.0
0.668,44.0
0.669,46.0
0.67,45.0
0.671,48.0
0.672,47.0
0.673,44.0
0.674,47.0
0.675,45.0
0.676,50.0
0.677,47.0
0.678,51.0
0.679,52.0
0.68,51.0
0.681,52.0
0.682,54.0
0.683,54.0
0.684,51.0
0.685,52.0
0.686,52.0
0.687,54.0
0.688,55.0
0.689,53.0
0.69,54.0
0.691,54.0
0.692,56.0
0.693,57.0
0.694,56.0
0.695,57.0
0.696,57.0
0.697,59.0
0.698,58.0
0.699,58.0
0.7,58.0
0.701,60.0
0.702,59.0
0.703,59.0
0.704,60.0
0.705,60.0
0.706,60.0
0.707,62.0
0.708,62.0
0.709,62.0
0.71,62.0
0.711,62.0
0.712,65.0
0.713,64.0
0.714,64.0
0.715,64.0
0.716,64.0
0.717,63.0
0.718,63.0
0.719,64.0
0.72,65.0
0.721,64.0
0.722,63.0
0.723,64.0
0.724,62.0
0.725,62.0
0.726,63.0
0.727,64.0
0.728,64.0
0.729,63.0
0.73,64.0
0.731,65.0
0.732,66.0
0.733,67.0
0.734,68.0
0.735,70.0
0.736,68.0
0.737,66.0
0.738,67.0
0.739,68.0
0.74,68.0
0.741,68.0
0.742,73.0
0.743,72.0
0.744,72.0
0.745,74.0
0.746,69.0
0.747,68.0
0.748,69.0
0.749,74.0
0.75,76.0
0.751,76.0
0.752,76.0
0.753,77.0
0.754,78.0
0.755,85.0
0.756,91.0
0.757,92.0
0.758,93.0
0.759,95.0
0.76,96.0
0.761,100.0
0.762,101.0
0.763,103.0
0.764,104.0
0.765,104.0
0.766,106.0
0.767,107.0
0.768,107.0
0.769,109.0
0.77,110.0
0.771,111.0
0.772,112.0
0.773,111.0
0.774,111.0
0.775,113.0
0.776,110.0
0.777,113.0
0.778,113.0
0.779,113.0
0.78,113.0
0.781,114.0
0.782,114.0
0.783,114.0
0.784,115.0
0.785,111.0
0.786,115.0
0.787,117.0
0.788,118.0
0.789,119.0
0.79,119.0
0.791,120.0
0.792,119.0
0.793,119.0
0.794,121.0
0.795,118.0
0.796,122.0
0.797,120.0
0.798,120.0
0.799,120.0
0.8,120.0
0.801,127.0
0.802,130.0
0.803,131.0
0.804,134.0
0.805,135.0
0.806,136.0
0.807,138.0
0.808,140.0
0.809,138.0
0.81,141.0
0.811,143.0
0.812,143.0
0.813,145.0
0.814,147.0
0.815,144.0
0.816,148.0
0.817,147.0
0.818,147.0
0.819,148.0
0.82,148.0
0.821,148.0
0.822,148.0
0.823,149.0
0.824,149.0
0.825,148.0
0.826,147.0
0.827,148.0
0.828,147.0
0.829,148.0
0.83,148.0
0.831,148.0
0.832,150.0
0.833,147.0
0.834,148.0
0.835,148.0
0.836,147.0
0.837,148.0
0.838,147.0
0.839,148.0
0.84,149.0
0.841,149.0
0.842,149.0
0.843,149.0
0.844,149.0
0.845,148.0
0.846,149.0
0.847,149.0
0.848,149.0
0.849,150.0
0.85,150.0
0.851,150.0
0.852,151.0
0.853,151.0
0.854,150.0
0.855,150.0
0.856,149.0
0.857,148.0
0.858,148.0
0.859,148.0
0.86,148.0
0.861,148.0
0.862,145.0
0.863,145.0
0.864,147.0
0.865,147.0
0.866,147.0
0.867,145.0
0.868,147.0
0.869,148.0
0.87,149.0
0.871,150.0
0.872,150.0
0.873,150.0
0.874,151.0
0.875,148.0
0.876,149.0
0.877,148.0
0.878,146.0
0.879,147.0
0.88,147.0
0.881,147.0
0.882,148.0
0.883,149.0
0.884,147.0
0.885,150.0
0.886,148.0
0.887,150.0
0.888,149.0
0.889,150.0
0.89,151.0
0.891,152.0
0.892,151.0
0.893,151.0
0.894,152.0
0.895,151.0
0.896,151.0
0.897,151.0
0.898,150.0
0.899,149.0
0.9,149.0
0.901,149.0
0.902,149.0
0.903,150.0
0.904,149.0
0.905,149.0
0.906,149.0
0.907,151.0
0.908,150.0
0.909,147.0
0.91,151.0
0.911,150.0
0.912,149.0
0.913,149.0
0.914,148.0
0.915,150.0
0.916,150.0
0.917,149.0
0.918,149.0
0.919,149.0
0.92,149.0
0.921,149.0
0.922,151.0
0.923,150.0
0.924,150.0
0.925,149.0
0.926,150.0
0.927,150.0
0.928,149.0
0.929,151.0
0.93,149.0
0.931,150.0
0.932,149.0
0.933,149.0
0.934,150.0
0.935,148.0
0.936,150.0
0.937,148.0
0.938,149.0
0.939,149.0
0.94,150.0
0.941,149.0
0.942,149.0
0.943,149.0
0.944,149.0
0.945,149.0
0.946,149.0
0.947,151.0
0.948,149.0
0.949,149.0
0.95,149.0
0.951,147.0
0.952,149.0
0.953,149.0
0.954,149.0
0.955,150.0
0.956,149.0
0.957,148.0
0.958,149.0
0.959,149.0
0.96,148.0
0.961,150.0
0.962,149.0
0.963,149.0
0.964,149.0
0.965,149.0
0.966,151.0
0.967,151.0
0.968,151.0
0.969,152.0
0.97,152.0
0.971,153.0
0.972,152.0
0.973,151.0
0.974,152.0
0.975,151.0
0.976,152.0
0.977,150.0
0.978,151.0
0.979,152.0
0.98,151.0
0.981,151.0
0.982,152.0
0.983,154.0
0.984,152.0
0.985,154.0
0.986,153.0
0.987,152.0
0.988,153.0
0.989,153.0
0.99,153.0
0.991,153.0
0.992,154.0
0.993,153.0
0.994,154.0
0.995,154.0
0.996,154.0
0.997,152.0
0.998,153.0
0.999,153.0
1.0,153.0
1.001,153.0
1.002,153.0
1.003,153.0
1.004,153.0
1.005,154.0
1.006,153.0
1.007,154.0
1.008,153.0
1.009,154.0
1.01,154.0
1.011,154.0
1.012,153.0
1.013,153.0
1.014,153.0
1.015,154.0
1.016,153.0
1.017,154.0
1.018,153.0
1.019,153.0
1.02,153.0
1.021,154.0
1.022,154.0
1.023,154.0
1.024,154.0
1.025,153.0
1.026,154.0
1.027,155.0
1.028,153.0
1.029,154.0
1.03,154.0
1.031,154.0
1.032,154.0
1.033,154.0
1.034,154.0
1.035,153.0
1.036,154.0
1.037,153.0
1.038,154.0
1.039,154.0
1.04,154.0
1.041,153.0
1.042,155.0
1.043,154.0
1.044,154.0
1.045,155.0
1.046,154.0
1.047,155.0
1.048,155.0
1.049,154.0
1.05,156.0
1.051,155.0
1.052,154.0
1.053,155.0
1.054,155.0
1.055,154.0
1.056,153.0
1.057,155.0
1.058,152.0
1.059,153.0
1.06,154.0
